[17:39:21] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[17:39:21] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:39:21] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:39:21] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[17:39:21] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:39:25] [Server thread/INFO]: Starting minecraft server version 1.15.2
[17:39:25] [Server thread/INFO]: Loading properties
[17:39:25] [Server thread/INFO]: Default game type: SURVIVAL
[17:39:25] [Server thread/INFO]: Generating keypair
[17:39:27] [Server thread/INFO]: Starting Minecraft server on *:25565
[17:39:27] [Server thread/INFO]: Using default channel type
[17:39:30] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[17:39:30] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[17:39:30] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[17:39:30] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[17:39:30] [Server thread/INFO]: Preparing level "world"
[17:39:31] [Server thread/INFO]: Found new data pack vanilla, loading it automatically
[17:39:31] [Server thread/INFO]: Reloading ResourceManager: Default
[17:39:36] [Server thread/INFO]: Loaded 6 recipes
[17:39:40] [Server thread/INFO]: Loaded 825 advancements
[17:40:06] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[17:40:07] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:09] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:12] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:12] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:12] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:12] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:12] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:12] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:12] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:12] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:12] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:12] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:13] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:14] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:14] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:14] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:15] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:17] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:17] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:17] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:17] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:17] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:18] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:19] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:19] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[17:40:19] [Server-Worker-1/INFO]: Preparing spawn area: 0%
